"groupID";"tripID";"dayID";"focalID";"houseID";"locID";"food_items";"trip_distance";"maximum_distance";"trip_duration";"trip_range_MCP";"Energy_expenditure";"kcal";"infant_presence";"caregiverID_work";"caregiverID_walk";"membersID";"n_females";"n_males";"n_nursing";"n_earlyC";"n_middleC";"n_adolescent";"n_adult";"n_nursing_a";"n_nursing_b";"adolescent_f";"adolescent_m";"adult_f";"adult_m";"earlyC_f";"earlyC_m";"middleC_f";"middleC_m";"nursing_f";"nursing_m";"nursing_kin";"nursing_nonkin";"earlyC_kin";"earlyC_nonkin";"middleC_kin";"middleC_nonkin";"adolescent_kin";"adolescent_nonkin";"adult_kin";"adult_nonkin";"r=0.5";"r=0.25";"r=0.125";"r=0.0625";"r=0.03125";"kin";"nonkin";"first_order_kin";"close_kin";"distant_kin";"adolescent_f_kin";"adolescent_m_kin";"adult_f_kin";"adult_m_kin";"earlyC_f_kin";"earlyC_m_kin";"middleC_f_kin";"middleC_m_kin";"nursing_f_kin";"nursing_m_kin";"nursing_f_nonkin";"earlyC_f_nonkin";"middleC_f_nonkin";"adolescent_f_nonkin";"adult_f_nonkin"
29;42;2022-08-22;"SB39";10;"both_forest_garden";"leaves";NA;NA;NA;NA;NA;2030.66000084847;TRUE;"SB40,SB44";NA;"SB38,SB44,SB40";1;2;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;2;0;0;NA;NA;2;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
32;45;2022-08-22;"SB89";19;"garden";"tubers,leaves";NA;NA;NA;NA;NA;6928.54600097232;FALSE;NA;NA;"SB83";1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;NA;NA;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
33;46;2022-08-22;"SB27";6;"forest";"leaves";NA;NA;NA;NA;NA;3961.08571428571;TRUE;"SB34";NA;"SB34,SB169,SB175";3;0;1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;NA;NA;2;1;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
33;47;2022-08-22;"SB34";8;"forest";"leaves";NA;NA;NA;NA;NA;3584.4;FALSE;NA;NA;"SB169,SB27,SB31,SB175";4;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;NA;NA;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
33;48;2022-08-22;"SB169";34;"forest";"leaves";NA;NA;NA;NA;NA;4096.45714285714;TRUE;"SB34";NA;"SB34,SB27,SB31";3;0;1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;NA;NA;2;1;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
34;49;2022-08-22;"SB125";24;"forest";"leaves,nuts";NA;NA;NA;NA;NA;3996.94285714286;TRUE;NA;NA;"SB126";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;NA;NA;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35;50;2022-08-22;"SB62";14;"forest";"leaves";NA;NA;NA;NA;NA;76.5142857142857;TRUE;NA;NA;"SB2,SB50,SB147,SB49,SB53,SB54";5;1;0;2;1;0;3;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;2;0;1;0;0;1;2;1;0;0;NA;NA;1;5;1;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2
36;51;2022-08-24;"SB27";6;"forest";"leaves";1372.52696824582;484.629312654459;1.52166666666667;0.0173945739440918;2.48279684781286;227.777142857143;TRUE;NA;NA;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;52;2022-08-24;"SB53";12;"forest";"leaves";856.913093956107;451.966229242795;0.92;0.00718452116394043;2.55223182583761;334.897142857143;TRUE;"SB54";"SB54";"SB54";1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;NA;NA;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
38;53;2022-08-24;"SB20";5;"garden";"tubers";NA;NA;NA;NA;NA;2862.3224;TRUE;"SB22";"SB22";"SB19,SB23,SB22";1;2;0;0;2;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;NA;NA;2;1;2;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
